,,,,,,,,,,
solidity,2,,solidity,NaN,,solidity,NaN,,solidity,NaN
beta1 [deg],delta0_10,,beta1 [deg],m,,(t/c)max,Kdelta_t,,beta1 [deg],b
"0,625","0,009772",,"0,7742","0,1693",,"0,001333","0,006838",,"0,5161","0,9681"
"11,25","0,2182",,"5,29","0,1701",,"0,006444","0,04786",,"4,903","0,9577"
"21,63","0,4788",,"11,74","0,1728",,"0,01644","0,1299",,"11,48","0,9433"
"28,63","0,7134",,"16,39","0,176",,"0,024","0,1897",,"16,13","0,9336"
34,"0,9349",,24,"0,1823",,"0,03044","0,2444",,"20,26","0,9238"
"41,25","1,313",,"29,03","0,189",,"0,03756","0,306",,"24,65","0,9127"
"48,25","1,795",,"32,52","0,1945",,"0,044","0,3624",,"28,9","0,8997"
55,"2,388",,"36,52","0,2012",,"0,05089","0,4274",,"33,42","0,8827"
"58,63","2,798",,"40,65","0,2102",,"0,058","0,4974",,"37,55","0,8651"
"63,5","3,476",,"45,16","0,2209",,"0,06356","0,5521",,"41,68","0,8417"
"66,63","4,003",,"48,9","0,2315",,"0,07089","0,6325",,"45,29","0,8189"
"69,38","4,596",,"52,9","0,2437",,"0,07622","0,6923",,"48,77","0,7948"
,,,56,"0,2539",,"0,08156","0,7573",,"51,74","0,7713"
solidity,1.8,,"58,71","0,2642",,"0,08822","0,8376",,"54,84","0,7427"
beta1 [deg],delta0_10,,"61,55","0,2752",,"0,09222","0,8889",,"56,9","0,7212"
1,"0,01629",,"64,39","0,2874",,"0,09933","0,9795",,"59,74","0,6899"
"5,75","0,08795",,"66,84","0,2988",,"0,1076","1,094",,"61,81","0,6658"
"12,25","0,2182",,"69,42","0,3106",,"0,1122","1,166",,"64,77","0,63"
19,"0,3811",,,,,"0,1191","1,27",,"66,97","0,5974"
"25,25","0,5765",,,,,,,,"69,81","0,555"
"32,25","0,8371",,,,,,,,,
"37,63","1,098",,,,,,,,,
"43,25","1,371",,,,,,,,,
"47,63","1,658",,,,,,,,,
"54,12","2,186",,,,,,,,,
"59,25","2,713",,,,,,,,,
64,"3,41",,,,,,,,,
"69,63","4,231",,,,,,,,,
,,,,,,,,,,
solidity,1.6,,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
1,"0,009772",,,,,,,,,
"10,88","0,1466",,,,,,,,,
"20,5","0,3681",,,,,,,,,
"28,5","0,6287",,,,,,,,,
"35,88","0,9153",,,,,,,,,
"43,25","1,28",,,,,,,,,
"48,75","1,619",,,,,,,,,
"55,13","2,121",,,,,,,,,
"58,75","2,472",,,,,,,,,
62,"2,831",,,,,,,,,
"65,13","3,189",,,,,,,,,
"67,38","3,489",,,,,,,,,
"69,5","3,853",,,,,,,,,
,,,,,,,,,,
solidity,1.4,,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
"1,125","0,0228",,,,,,,,,
"7,625","0,09446",,,,,,,,,
"16,75","0,2638",,,,,,,,,
24,"0,4723",,,,,,,,,
30,"0,6482",,,,,,,,,
"36,13","0,8697",,,,,,,,,
43,"1,176",,,,,,,,,
"47,75","1,43",,,,,,,,,
"51,25","1,658",,,,,,,,,
"54,63","1,893",,,,,,,,,
"57,13","2,107",,,,,,,,,
"60,75","2,427",,,,,,,,,
64,"2,792",,,,,,,,,
67,"3,143",,,,,,,,,
"69,38","3,463",,,,,,,,,
,,,,,,,,,,
solidity,1.2,,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
"0,5","0,01629",,,,,,,,,
"5,625","0,05537",,,,,,,,,
"14,38","0,1792",,,,,,,,,
23,"0,3941",,,,,,,,,
"29,63","0,5831",,,,,,,,,
"38,25","0,8762",,,,,,,,,
45,"1,176",,,,,,,,,
"51,13","1,489",,,,,,,,,
"55,25","1,749",,,,,,,,,
"59,25","2,036",,,,,,,,,
"62,75","2,342",,,,,,,,,
"66,88","2,72",,,,,,,,,
"69,63","3,026",,,,,,,,,
,,,,,,,,,,
solidity,1.0,,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
"1,25","0,0228",,,,,,,,,
"6,5","0,07492",,,,,,,,,
"14,5","0,1922",,,,,,,,,
"23,87","0,3811",,,,,,,,,
"32,75","0,6156",,,,,,,,,
"39,88","0,8371",,,,,,,,,
"46,25","1,085",,,,,,,,,
"53,12","1,378",,,,,,,,,
58,"1,664",,,,,,,,,
"62,63","1,964",,,,,,,,,
"66,88","2,283",,,,,,,,,
"69,75","2,557",,,,,,,,,
,,,,,,,,,,
solidity,"0,8",,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
2,"0,01629",,,,,,,,,
"6,25","0,06189",,,,,,,,,
"12,38","0,1401",,,,,,,,,
"19,38","0,2704",,,,,,,,,
"28,5","0,4397",,,,,,,,,
"35,75","0,6156",,,,,,,,,
"42,25","0,798",,,,,,,,,
"49,38","1,026",,,,,,,,,
"55,88","1,267",,,,,,,,,
"60,88","1,528",,,,,,,,,
"65,38","1,749",,,,,,,,,
"67,5","1,899",,,,,,,,,
"69,5","2,036",,,,,,,,,
,,,,,,,,,,
solidity,"0,6",,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
"1,5","0,01629",,,,,,,,,
"6,625","0,05537",,,,,,,,,
11,"0,1075",,,,,,,,,
"17,63","0,1922",,,,,,,,,
"24,88","0,3029",,,,,,,,,
"32,75","0,4528",,,,,,,,,
"40,63","0,6026",,,,,,,,,
"49,88","0,8046",,,,,,,,,
"56,13","0,987",,,,,,,,,
"60,88","1,15",,,,,,,,,
"65,5","1,326",,,,,,,,,
"69,63","1,547",,,,,,,,,
,,,,,,,,,,
solidity,"0,4",,,,,,,,,
beta1 [deg],delta0_10,,,,,,,,,
"1,625","0,01629",,,,,,,,,
"6,625","0,05537",,,,,,,,,
"11,88","0,08143",,,,,,,,,
"19,13","0,1531",,,,,,,,,
28,"0,2508",,,,,,,,,
"33,88","0,3355",,,,,,,,,
"39,5","0,4072",,,,,,,,,
"44,88","0,4984",,,,,,,,,
"50,88","0,5961",,,,,,,,,
"57,25","0,7134",,,,,,,,,
63,"0,8502",,,,,,,,,
"69,63","1,039",,,,,,,,,