,,,,,,,
solidity,2,,solidity,2,,solidity,NaN
beta1 [deg],i0_10,,beta1 [deg],n,,(t/c)max,Ki_t
"0,3053","0,01307",,"0,4511","-0,006557",,"0,0006977","0,01143"
"8,702","1,516",,"8,571","-0,005902",,"0,005349","0,09143"
"25,65","4,17",,"16,54","-0,007213",,"0,01116","0,1943"
"41,68","6,667",,"22,26","-0,01049",,"0,01744","0,2914"
"55,73","8,824",,"27,97","-0,01574",,"0,02512","0,4014"
"62,6","9,712",,"33,68","-0,02361",,"0,03395","0,51"
"65,19","9,961",,"38,8","-0,03475",,"0,04302","0,6129"
"49,31","7,843",,"43,31","-0,04525",,"0,05256","0,7043"
"33,13","5,294",,"47,07","-0,05639",,"0,0614","0,7757"
,,,"52,18","-0,07738",,"0,07116","0,8471"
solidity,1.8,,"57,44","-0,1023",,"0,08279","0,9186"
beta1 [deg],i0_10,,"64,06","-0,1423",,"0,09419","0,9729"
"0,458","0,03922",,"69,77","-0,1869",,"0,1095","1,039"
"11,15","1,673",,,,,,
"20,61","3,033",,solidity,1.8,,,
"30,23","4,327",,beta1 [deg],n,,,
"39,08","5,556",,"0,3008","-0,0118",,,
"45,95","6,549",,"4,511","-0,0118",,,
"54,66","7,725",,"10,23","-0,01246",,,
"59,54","8,327",,"16,54","-0,01508",,,
"63,82","8,758",,"22,26","-0,02033",,,
"66,87","9,007",,"27,07","-0,02557",,,
"69,31","9,137",,"32,03","-0,03344",,,
,,,"36,09","-0,04131",,,
solidity,1.4,,"40,6","-0,05246",,,
beta1 [deg],i0_10,,"46,32","-0,07016",,,
0,"0,05229",,"52,33","-0,09443",,,
"10,38","1,176",,"56,99","-0,1193",,,
"17,86","2,039",,"64,66","-0,1698",,,
"25,95","2,928",,"69,77","-0,2098",,,
"34,96","3,948",,,,,,
"45,19","5,046",,solidity,1.6,,,
"52,52","5,817",,beta1 [deg],n,,,
"57,1","6,261",,"0,1504","-0,01836",,,
"61,98","6,654",,"5,564","-0,01902",,,
"65,95","6,954",,"12,33","-0,02098",,,
"69,31","7,163",,"18,05","-0,02623",,,
,,,"26,02","-0,03541",,,
solidity,1.2,,"32,63","-0,04852",,,
beta1 [deg],i0_10,,"38,35","-0,0623",,,
"0,458","0,03922",,"44,51","-0,08262",,,
"12,98","1,268",,"51,28","-0,1102",,,
"23,51","2,261",,"58,35","-0,1475",,,
"30,99","2,967",,"62,71","-0,177",,,
"38,02","3,608",,"69,92","-0,2348",,,
"44,12","4,157",,,,,,
"48,09","4,562",,solidity,1.4,,,
"51,76","4,889",,beta1 [deg],n,,,
"55,73","5,255",,"0,3008","-0,02426",,,
"60,76","5,66",,"4,812","-0,02623",,,
"64,43","5,895",,"11,73","-0,03082",,,
"66,56","6,013",,"20,3","-0,04066",,,
"68,7","6,078",,"27,07","-0,05311",,,
,,,"33,98","-0,06951",,,
solidity,0.8,,"40,15","-0,08656",,,
beta1 [deg],i0_10,,"46,47","-0,1082",,,
"0,3053","0,02614",,"52,03","-0,1331",,,
"6,87","0,4837",,"58,65","-0,1711",,,
"14,2","0,9412",,"64,21","-0,2118",,,
"21,98","1,425",,"69,92","-0,2623",,,
"28,7","1,843",,,,,,
"33,44","2,157",,solidity,1.2,,,
"37,56","2,418",,beta1 [deg],n,,,
"42,14","2,719",,"0,1504","-0,03148",,,
"46,72","2,98",,"5,865","-0,03541",,,
"52,21","3,281",,"13,08","-0,04262",,,
"56,64","3,516",,"21,35","-0,05705",,,
"61,53","3,752",,"29,32","-0,07475",,,
"66,26","3,948",,"37,44","-0,101",,,
"69,47","4,065",,"45,86","-0,1318",,,
,,,"54,14","-0,1705",,,
solidity,0.6,,"59,55","-0,2033",,,
beta1 [deg],i0_10,,"65,26","-0,2492",,,
"0,7634","0,05229",,"69,77","-0,2892",,,
"5,191","0,2484",,,,,,
"10,38","0,549",,solidity,1.0,,,
"16,79","0,8758",,beta1 [deg],n,,,
"24,12","1,229",,"0,4511","-0,03607",,,
"34,5","1,686",,"5,564","-0,04262",,,
"47,02","2,222",,"12,78","-0,05311",,,
"57,25","2,641",,"17,74","-0,06426",,,
"64,43","2,902",,"23,46","-0,07934",,,
"66,87","2,967",,"30,23","-0,09967",,,
"69,16","2,993",,"36,39","-0,1207",,,
,,,"43,61","-0,1482",,,
solidity,0.4,,"49,92","-0,1757",,,
beta1 [deg],i0_10,,"55,34","-0,2052",,,
"0,458","0,03922",,"60,9","-0,2452",,,
"6,107","0,2092",,"65,86","-0,2879",,,
"12,98","0,4314",,"69,92","-0,3285",,,
"18,32","0,6405",,,,,,
"23,36","0,7843",,solidity,0.8,,,
"29,01","0,9804",,beta1 [deg],n,,,
"35,88","1,176",,"0,4511","-0,04066",,,
"41,22","1,346",,"5,564","-0,04852",,,
"47,48","1,516",,"13,23","-0,06689",,,
"54,66","1,699",,"22,71","-0,09508",,,
"62,14","1,856",,"31,58","-0,1259",,,
"66,56","1,961",,"38,95","-0,1567",,,
"69,31","1,987",,"45,71","-0,1849",,,
,,,"53,83","-0,2315",,,
,,,60,"-0,2741",,,
,,,"64,96","-0,3174",,,
,,,"69,77","-0,3698",,,
,,,,,,,
,,,solidity,0.6,,,
,,,beta1 [deg],n,,,
,,,"0,6015","-0,04262",,,
,,,"5,714","-0,05705",,,
,,,"13,08","-0,08131",,,
,,,"21,65","-0,1115",,,
,,,"30,83","-0,1489",,,
,,,40,"-0,1915",,,
,,,"49,77","-0,2459",,,
,,,"56,69","-0,2938",,,
,,,"62,71","-0,3416",,,
,,,"69,92","-0,4125",,,
,,,,,,,
,,,solidity,0.4,,,
,,,beta1 [deg],n,,,
,,,"0,4511","-0,05049",,,
,,,"6,316","-0,07213",,,
,,,"15,64","-0,1108",,,
,,,"26,47","-0,16",,,
,,,"38,05","-0,2256",,,
,,,"47,07","-0,28",,,
,,,"56,09","-0,343",,,
,,,"69,92","-0,459",,,